,id,Brand,Model_Number,Price,Photo,Engine_Type,Body_Type,Fuel_Type,Gearbox_Type,Power_hp,Displacement_l,Torque_lbft,Cylinders,Drivetrain,MPG_City,MPG_Highway
1391,1391,Aston Martin,Vanquish Manual 2022,450000.0,https://www.ccarprice.com/products/Aston_Martin_Vanquish_Manual_2022.jpg,3.0L Twin-Turbo V6 Gas,Coupe,Petrol,Manual,595.0,3.0,630.0,6.0,rear,11.0,15.0
1393,1393,Aston Martin,DBX V8 2023,185900.0,https://www.ccarprice.com/products/Aston_Martin_DBX_V8_2023_1.jpg,4.0L Twin-Turbo V8 Gas,SUV,Petrol,Automatic,542.0,4.0,516.0,8.0,all,14.0,20.0
1394,1394,Aston Martin,DBX V8 2022,176900.0,https://www.ccarprice.com/products/AstonMartin_DBX_V8_2022.jpg,4.0L Twin-Turbo V8 Gas,SUV,Petrol,Automatic,542.0,4.0,516.0,8.0,all,14.0,20.0
1396,1396,Aston Martin,DBS Volante RWD 2022,334700.0,https://www.ccarprice.com/products/AstonMartin_DBS_Volante_RWD_2022.jpg,5.2L Twin-Turbo V12 Gas,Convertible,Petrol,Automatic,715.0,5.2,663.0,12.0,rear,14.0,22.0
1397,1397,Aston Martin,DB11 V8 Coupe 2023,217000.0,https://www.ccarprice.com/products/Aston_Martin_DB11_V8_Coupe_2023.jpg,4.0L Twin-Turbo V8 Gas,Coupe,Petrol,Automatic,528.0,4.0,513.0,8.0,rear,18.0,24.0
1398,1398,Aston Martin,DB11 V8 Volante 2023,233200.0,https://www.ccarprice.com/products/Aston_Martin_DB11_V8_Volante_2023.jpg,4.0L Twin-Turbo V8 Gas,Convertible,Petrol,Automatic,528.0,4.0,513.0,8.0,rear,18.0,24.0
1399,1399,Aston Martin,DB11 V8 Volante 2022,220900.0,https://www.ccarprice.com/products/AstonMartin_DB11_V8_Volante_2022.jpg,4.0L Twin-Turbo V8 Gas,Convertible,Petrol,Automatic,528.0,4.0,513.0,8.0,rear,18.0,24.0
1400,1400,Aston Martin,Vantage Roadster 2023,155100.0,https://www.ccarprice.com/products/Aston_Martin_Vantage_Roadster_2023.jpg,4.0L Twin-Turbo V8 Gas,Convertible,Petrol,Automatic,503.0,4.0,505.0,8.0,rear,18.0,24.0
1401,1401,Aston Martin,Vantage Roadster 2022,147000.0,https://www.ccarprice.com/products/AstonMartin_Vantage_Roadster_2022.jpg,4.0L Twin-Turbo V8 Gas,Convertible,Petrol,Automatic,503.0,4.0,505.0,8.0,rear,18.0,24.0
1403,1403,Aston Martin,Vantage Coupe 2023,143900.0,https://www.ccarprice.com/products/AstonMartin_Vantage_Coupe_2023.jpg,4.0L Twin-Turbo V8 Gas,Coupe,Petrol,Automatic,503.0,4.0,505.0,8.0,rear,18.0,24.0
1404,1404,Aston Martin,DB11 AMR RWD 2022,245900.0,https://www.ccarprice.com/products/AstonMartin_DB11_AMR_2022_1.jpg,5.2L Twin-Turbo V12 Gas,Coupe,Petrol,Automatic,630.0,5.2,516.0,12.0,rear,15.0,22.0
1405,1405,Aston Martin,DB11 V8 Coupe 2022,205600.0,https://www.ccarprice.com/products/AstonMartin_DB11_V8_Coupe_2022.jpg,4.0L Twin-Turbo V8 Gas,Coupe,Petrol,Automatic,528.0,4.0,513.0,8.0,rear,18.0,24.0
1406,1406,Aston Martin,DBS Coupe 2023,330600.0,https://www.ccarprice.com/products/AstonMartin_DBS_Coupe_2023.jpg,5.2-liter Twin-Turbo V12 Gas,Coupe,Petrol,Automatic,715.0,5.2,663.0,12.0,rear,14.0,22.0
1407,1407,Aston Martin,Martin DBS Volante 2023,349800.0,https://www.ccarprice.com/products/Martin_DBS_Volante_2023.jpg,5.2-liter Twin-Turbo V12 Gas,Convertible,Petrol,Automatic,715.0,5.2,663.0,12.0,rear,14.0,22.0
1408,1408,Aston Martin,DB11 AMR 2022,245900.0,https://www.ccarprice.com/products/AstonMartin_DB11_AMR_2022.jpg,5.2L Twin-Turbo V12 Gas,Coupe,Petrol,Automatic,630.0,5.2,516.0,12.0,rear,15.0,22.0
1409,1409,Aston Martin,DBS Coupe 2022,316300.0,https://www.ccarprice.com/products/AstonMartin_DBS_Coupe_2022.jpg,5.2L Twin-Turbo V12 Gas,Coupe,Petrol,Automatic,715.0,5.2,663.0,12.0,rear,14.0,22.0
1410,1410,Aston Martin,DBS Volante 2022,334700.0,https://www.ccarprice.com/products/AstonMartin_DBS_Volante_2022_1.jpg,5.2L Twin-Turbo V12 Gas,Convertible,Petrol,Automatic,715.0,5.2,663.0,12.0,rear,14.0,22.0
1412,1412,Aston Martin,DBX AWD 2022,176900.0,https://www.ccarprice.com/products/AstonMartin_DBX_AWD_2022_1.jpg,4.0-liter Twin-Turbo V8 Gas,SUV,Petrol,Automatic,542.0,4.0,516.0,8.0,all,14.0,18.0
1413,1413,Aston Martin,Valkyrie AMR PRO 2022,3500000.0,https://www.ccarprice.com/products/Aston_Martin_Valkyrie_AMR_PRO_2022.jpg,6.5L V12 Hybrid,Coupe,Petrol,Automatic,1000.0,6.5,663.0,12.0,rear,14.0,22.0
1414,1414,Aston Martin,Vantage Coupe 2022,139000.0,https://www.ccarprice.com/products/AstonMartin_Vantage_Coupe_2022.jpg,4.0L Twin-Turbo V8 Gas,Coupe,Petrol,Automatic,503.0,4.0,505.0,8.0,rear,18.0,24.0
1417,1417,Aston Martin,DBS Superleggera Volante 2022,364700.0,https://www.ccarprice.com/products/AstonMartin_DBS_Superleggera_Volante_2022.jpg,5.2-liter Twin-Turbo V12 Gas,Convertible,Petrol,Automatic,715.0,5.2,663.0,12.0,rear,14.0,22.0
1418,1418,Aston Martin,DBS Superleggera 2022,346300.0,https://www.ccarprice.com/products/AstonMartin_DBS_Superleggera_2022.jpg,5.2-liter Twin-Turbo V12 Gas,Coupe,Petrol,Automatic,715.0,5.2,663.0,12.0,rear,14.0,22.0
1419,1419,Aston Martin,DB11 Volante 2022,240900.0,https://www.ccarprice.com/products/AstonMartin_DB11_Volante_2022.jpg,4.0L Twin-Turbo V8 Gas,Convertible,Petrol,Automatic,503.0,4.0,513.0,8.0,rear,18.0,24.0
1420,1420,Aston Martin,DB11 V8 2022,285600.0,https://www.ccarprice.com/products/AstonMartin_DB11_2022.jpg,4.0L Twin-Turbo V8 Gas,Coupe,Petrol,Automatic,503.0,4.0,513.0,8.0,rear,18.0,24.0
1421,1421,Aston Martin,DBX 2022,176900.0,https://www.ccarprice.com/products/AstonMartin_DBX_2022_1.jpg,4.0-liter Twin-Turbo V8 Gas,SUV,Petrol,Automatic,542.0,4.0,516.0,8.0,all,14.0,18.0
1422,1422,Aston Martin,DBS Superleggera Volante 2021,334700.0,https://www.ccarprice.com/products/Aston_Martin_DBS_Superleggera_Volante_2021.jpg,5.2L Twin-Turbo V12 Gas,Convertible,Petrol,Automatic,715.0,5.2,663.0,12.0,rear,14.0,22.0
1423,1423,Aston Martin,DB11 Shadow Edition 2021,237900.0,https://www.ccarprice.com/products/Aston_Martin_DB11_Shadow_Edition_Volante_2021.jpg,4.0L Twin-Turbo V8 Gas,Convertible,Petrol,Automatic,503.0,4.0,513.0,8.0,rear,18.0,24.0
